#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.001    -98.628   -119.816   -127.687    -28.359    173.993     93.313
      0.002    -98.657   -119.642   -127.593    -28.289    174.065     93.397
      0.003    -98.685   -119.468   -127.500    -28.218    174.138     93.481
      0.004    -98.713   -119.294   -127.406    -28.147    174.211     93.564
      0.005    -98.741   -119.119   -127.313    -28.076    174.283     93.648
      0.006    -98.769   -118.945   -127.219    -28.005    174.356     93.732
      0.007    -98.797   -118.771   -127.125    -27.933    174.429     93.816
      0.008    -98.825   -118.596   -127.031    -27.862    174.502     93.900
      0.009    -98.853   -118.422   -126.938    -27.790    174.574     93.985
      0.010    -98.881   -118.247   -126.844    -27.718    174.647     94.069
      0.011    -98.908   -118.072   -126.749    -27.646    174.720     94.153
      0.012    -98.936   -117.898   -126.655    -27.574    174.793     94.238
      0.013    -98.964   -117.723   -126.561    -27.501    174.866     94.323
      0.014    -98.991   -117.548   -126.467    -27.429    174.939     94.407
      0.015    -99.018   -117.373   -126.372    -27.356    175.012     94.492
      0.016    -99.046   -117.198   -126.278    -27.284    175.085     94.577
      0.017    -99.073   -117.023   -126.183    -27.211    175.158     94.662
      0.018    -99.100   -116.848   -126.088    -27.138    175.231     94.747
      0.019    -99.127   -116.672   -125.993    -27.064    175.304     94.833
      0.020    -99.154   -116.497   -125.899    -26.991    175.377     94.918
      0.021    -99.181   -116.322   -125.804    -26.917    175.450     95.003
      0.022    -99.208   -116.146   -125.709    -26.844    175.523     95.089
      0.023    -99.235   -115.971   -125.613    -26.770    175.596     95.174
      0.024    -99.262   -115.795   -125.518    -26.696    175.669     95.260
      0.025    -99.288   -115.619   -125.423    -26.621    175.743     95.346
      0.026    -99.315   -115.443   -125.328    -26.547    175.816     95.432
      0.027    -99.341   -115.268   -125.232    -26.473    175.889     95.518
      0.028    -99.368   -115.092   -125.137    -26.398    175.962     95.604
      0.029    -99.394   -114.916   -125.041    -26.323    176.036     95.690
      0.030    -99.421   -114.740   -124.945    -26.248    176.109     95.777
      0.031    -99.447   -114.563   -124.849    -26.173    176.182     95.863
      0.032    -99.473   -114.387   -124.753    -26.098    176.256     95.950
      0.033    -99.499   -114.211   -124.657    -26.022    176.329     96.036
      0.034    -99.525   -114.035   -124.561    -25.947    176.403     96.123
      0.035    -99.551   -113.858   -124.465    -25.871    176.476     96.210
      0.036    -99.577   -113.682   -124.369    -25.795    176.550     96.297
      0.037    -99.602   -113.505   -124.273    -25.719    176.623     96.384
      0.038    -99.628   -113.328   -124.176    -25.642    176.697     96.471
      0.039    -99.654   -113.152   -124.080    -25.566    176.770     96.558
      0.040    -99.679   -112.975   -123.983    -25.489    176.844     96.646
      0.041    -99.705   -112.798   -123.886    -25.413    176.917     96.733
      0.042    -99.730   -112.621   -123.790    -25.336    176.991     96.821
      0.043    -99.755   -112.444   -123.693    -25.259    177.065     96.908
      0.044    -99.781   -112.267   -123.596    -25.181    177.138     96.996
      0.045    -99.806   -112.090   -123.499    -25.104    177.212     97.084
      0.046    -99.831   -111.912   -123.402    -25.026    177.286     97.172
      0.047    -99.856   -111.735   -123.304    -24.949    177.359     97.260
      0.048    -99.881   -111.558   -123.207    -24.871    177.433     97.348
      0.049    -99.905   -111.380   -123.110    -24.793    177.507     97.436
      0.050    -99.930   -111.203   -123.012    -24.714    177.581     97.525
      0.051    -99.955   -111.025   -122.915    -24.636    177.654     97.613
      0.052    -99.980   -110.847   -122.817    -24.557    177.728     97.702
      0.053   -100.004   -110.670   -122.719    -24.479    177.802     97.791
      0.054   -100.028   -110.492   -122.621    -24.400    177.876     97.880
      0.055   -100.053   -110.314   -122.523    -24.320    177.950     97.968
      0.056   -100.077   -110.136   -122.425    -24.241    178.024     98.057
      0.057   -100.101   -109.958   -122.327    -24.162    178.098     98.147
      0.058   -100.125   -109.780   -122.229    -24.082    178.172     98.236
      0.059   -100.149   -109.602   -122.131    -24.002    178.246     98.325
      0.060   -100.173   -109.423   -122.032    -23.922    178.320     98.415
      0.061   -100.197   -109.245   -121.934    -23.842    178.394     98.504
      0.062   -100.221   -109.066   -121.835    -23.762    178.468     98.594
      0.063   -100.245   -108.888   -121.737    -23.681    178.542     98.684
      0.064   -100.268   -108.709   -121.638    -23.601    178.616     98.774
      0.065   -100.292   -108.531   -121.539    -23.520    178.690     98.864
      0.066   -100.316   -108.352   -121.440    -23.439    178.764     98.954
      0.067   -100.339   -108.173   -121.341    -23.358    178.838     99.044
      0.068   -100.362   -107.994   -121.242    -23.276    178.913     99.134
      0.069   -100.385   -107.815   -121.143    -23.195    178.987     99.225
      0.070   -100.409   -107.636   -121.044    -23.113    179.061     99.315
      0.071   -100.432   -107.457   -120.944    -23.031    179.135     99.406
      0.072   -100.455   -107.278   -120.845    -22.949    179.209     99.496
      0.073   -100.478   -107.099   -120.745    -22.867    179.284     99.587
      0.074   -100.500   -106.919   -120.646    -22.784    179.358     99.678
      0.075   -100.523   -106.740   -120.546    -22.702    179.432     99.769
      0.076   -100.546   -106.561   -120.446    -22.619    179.507     99.861
      0.077   -100.568   -106.381   -120.346    -22.536    179.581     99.952
      0.078   -100.591   -106.201   -120.246    -22.453    179.655    100.043
      0.079   -100.613   -106.022   -120.146    -22.369    179.730    100.135
      0.080   -100.636   -105.842   -120.046    -22.286    179.804    100.226
      0.081   -100.658   -105.662   -119.946    -22.202    179.878    100.318
      0.082   -100.680   -105.482   -119.846    -22.118    179.953    100.410
      0.083   -100.702   -105.302   -119.745    -22.034    180.027    100.502
      0.084   -100.724   -105.122   -119.645    -21.950    180.102    100.594
      0.085   -100.746   -104.942   -119.544    -21.865    180.176    100.686
      0.086   -100.768   -104.762   -119.443    -21.781    180.251    100.778
      0.087   -100.790   -104.582   -119.342    -21.696    180.325    100.871
      0.088   -100.811   -104.401   -119.241    -21.611    180.400    100.963
      0.089   -100.833   -104.221   -119.140    -21.526    180.474    101.056
      0.090   -100.854   -104.040   -119.039    -21.440    180.549    101.149
      0.091   -100.876   -103.860   -118.938    -21.355    180.623    101.241
      0.092   -100.897   -103.679   -118.837    -21.269    180.698    101.334
      0.093   -100.918   -103.498   -118.735    -21.183    180.773    101.427
      0.094   -100.939   -103.317   -118.634    -21.097    180.847    101.521
      0.095   -100.960   -103.137   -118.532    -21.011    180.922    101.614
      0.096   -100.981   -102.956   -118.431    -20.924    180.996    101.707
      0.097   -101.002   -102.775   -118.329    -20.837    181.071    101.801
      0.098   -101.023   -102.593   -118.227    -20.751    181.146    101.895
      0.099   -101.044   -102.412   -118.125    -20.663    181.221    101.988
      0.100   -101.064   -102.231   -118.023    -20.576    181.295    102.082
      0.101   -101.085   -102.050   -117.921    -20.489    181.370    102.176
      0.102   -101.105   -101.868   -117.819    -20.401    181.445    102.270
      0.103   -101.126   -101.687   -117.716    -20.313    181.519    102.364
      0.104   -101.146   -101.505   -117.614    -20.225    181.594    102.459
      0.105   -101.166   -101.324   -117.512    -20.137    181.669    102.553
      0.106   -101.186   -101.142   -117.409    -20.048    181.744    102.648
      0.107   -101.206   -100.960   -117.306    -19.960    181.819    102.742
      0.108   -101.226   -100.778   -117.203    -19.871    181.893    102.837
      0.109   -101.246   -100.596   -117.101    -19.782    181.968    102.932
      0.110   -101.266   -100.414   -116.998    -19.693    182.043    103.027
      0.111   -101.285   -100.232   -116.895    -19.603    182.118    103.122
      0.112   -101.305   -100.050   -116.791    -19.513    182.193    103.217
      0.113   -101.324    -99.868   -116.688    -19.424    182.268    103.313
      0.114   -101.344    -99.686   -116.585    -19.334    182.343    103.408
      0.115   -101.363    -99.503   -116.481    -19.243    182.418    103.504
      0.116   -101.382    -99.321   -116.378    -19.153    182.493    103.599
      0.117   -101.401    -99.138   -116.274    -19.062    182.567    103.695
      0.118   -101.420    -98.956   -116.170    -18.971    182.642    103.791
      0.119   -101.439    -98.773   -116.066    -18.880    182.717    103.887
      0.120   -101.458    -98.590   -115.963    -18.789    182.792    103.983
      0.121   -101.477    -98.407   -115.859    -18.698    182.867    104.080
      0.122   -101.496    -98.224   -115.754    -18.606    182.942    104.176
      0.123   -101.514    -98.041   -115.650    -18.514    183.017    104.273
      0.124   -101.533    -97.858   -115.546    -18.422    183.092    104.369
      0.125   -101.551    -97.675   -115.441    -18.330    183.167    104.466
      0.126   -101.569    -97.492   -115.337    -18.237    183.242    104.563
      0.127   -101.587    -97.309   -115.232    -18.144    183.317    104.660
      0.128   -101.606    -97.125   -115.128    -18.052    183.392    104.757
      0.129   -101.624    -96.942   -115.023    -17.958    183.467    104.854
      0.130   -101.641    -96.758   -114.918    -17.865    183.543    104.952
      0.131   -101.659    -96.575   -114.813    -17.772    183.618    105.049
      0.132   -101.677    -96.391   -114.708    -17.678    183.693    105.147
      0.133   -101.695    -96.208   -114.603    -17.584    183.768    105.244
      0.134   -101.712    -96.024   -114.497    -17.490    183.843    105.342
      0.135   -101.730    -95.840   -114.392    -17.395    183.918    105.440
      0.136   -101.747    -95.656   -114.286    -17.301    183.993    105.538
      0.137   -101.764    -95.472   -114.181    -17.206    184.068    105.636
      0.138   -101.781    -95.288   -114.075    -17.111    184.143    105.735
      0.139   -101.798    -95.104   -113.969    -17.016    184.219    105.833
      0.140   -101.815    -94.919   -113.863    -16.920    184.294    105.932
      0.141   -101.832    -94.735   -113.758    -16.824    184.369    106.030
      0.142   -101.849    -94.551   -113.651    -16.729    184.444    106.129
      0.143   -101.866    -94.366   -113.545    -16.632    184.519    106.228
      0.144   -101.882    -94.182   -113.439    -16.536    184.594    106.327
      0.145   -101.899    -93.997   -113.333    -16.440    184.669    106.426
      0.146   -101.915    -93.812   -113.226    -16.343    184.745    106.526
      0.147   -101.931    -93.627   -113.120    -16.246    184.820    106.625
      0.148   -101.948    -93.443   -113.013    -16.149    184.895    106.724
      0.149   -101.964    -93.258   -112.906    -16.051    184.970    106.824
      0.150   -101.980    -93.073   -112.799    -15.954    185.045    106.924
      0.151   -101.996    -92.888   -112.692    -15.856    185.121    107.024
      0.152   -102.012    -92.702   -112.585    -15.758    185.196    107.124
      0.153   -102.027    -92.517   -112.478    -15.659    185.271    107.224
      0.154   -102.043    -92.332   -112.371    -15.561    185.346    107.324
      0.155   -102.058    -92.146   -112.263    -15.462    185.421    107.425
      0.156   -102.074    -91.961   -112.156    -15.363    185.497    107.525
      0.157   -102.089    -91.775   -112.048    -15.264    185.572    107.626
      0.158   -102.104    -91.590   -111.941    -15.164    185.647    107.727
      0.159   -102.119    -91.404   -111.833    -15.065    185.722    107.827
      0.160   -102.134    -91.218   -111.725    -14.965    185.798    107.928
      0.161   -102.149    -91.033   -111.617    -14.864    185.873    108.030
      0.162   -102.164    -90.847   -111.509    -14.764    185.948    108.131
      0.163   -102.179    -90.661   -111.401    -14.664    186.023    108.232
      0.164   -102.193    -90.475   -111.292    -14.563    186.098    108.334
      0.165   -102.208    -90.288   -111.184    -14.462    186.174    108.435
      0.166   -102.222    -90.102   -111.076    -14.360    186.249    108.537
      0.167   -102.237    -89.916   -110.967    -14.259    186.324    108.639
      0.168   -102.251    -89.730   -110.858    -14.157    186.399    108.741
      0.169   -102.265    -89.543   -110.750    -14.055    186.475    108.843
      0.170   -102.279    -89.357   -110.641    -13.953    186.550    108.945
      0.171   -102.293    -89.170   -110.532    -13.850    186.625    109.048
      0.172   -102.307    -88.983   -110.423    -13.748    186.700    109.150
      0.173   -102.320    -88.797   -110.313    -13.645    186.775    109.253
      0.174   -102.334    -88.610   -110.204    -13.542    186.851    109.356
      0.175   -102.347    -88.423   -110.095    -13.438    186.926    109.459
      0.176   -102.361    -88.236   -109.985    -13.334    187.001    109.562
      0.177   -102.374    -88.049   -109.875    -13.231    187.076    109.665
      0.178   -102.387    -87.862   -109.766    -13.126    187.152    109.768
      0.179   -102.400    -87.675   -109.656    -13.022    187.227    109.872
      0.180   -102.413    -87.487   -109.546    -12.917    187.302    109.975
      0.181   -102.426    -87.300   -109.436    -12.813    187.377    110.079
      0.182   -102.439    -87.113   -109.326    -12.707    187.452    110.183
      0.183   -102.452    -86.925   -109.216    -12.602    187.527    110.287
      0.184   -102.464    -86.738   -109.105    -12.497    187.603    110.391
      0.185   -102.477    -86.550   -108.995    -12.391    187.678    110.495
      0.186   -102.489    -86.362   -108.884    -12.285    187.753    110.599
      0.187   -102.501    -86.174   -108.774    -12.178    187.828    110.704
      0.188   -102.513    -85.987   -108.663    -12.072    187.903    110.808
      0.189   -102.525    -85.799   -108.552    -11.965    187.978    110.913
      0.190   -102.537    -85.611   -108.441    -11.858    188.054    111.018
      0.191   -102.549    -85.423   -108.330    -11.750    188.129    111.123
      0.192   -102.561    -85.234   -108.219    -11.643    188.204    111.228
      0.193   -102.572    -85.046   -108.108    -11.535    188.279    111.333
      0.194   -102.584    -84.858   -107.996    -11.427    188.354    111.438
      0.195   -102.595    -84.669   -107.885    -11.319    188.429    111.544
      0.196   -102.606    -84.481   -107.773    -11.210    188.504    111.649
      0.197   -102.618    -84.292   -107.661    -11.101    188.579    111.755
      0.198   -102.629    -84.104   -107.550    -10.992    188.654    111.861
      0.199   -102.640    -83.915   -107.438    -10.883    188.729    111.967
      0.200   -102.650    -83.726   -107.326    -10.773    188.804    112.073
      0.201   -102.661    -83.537   -107.213    -10.663    188.879    112.180
      0.202   -102.672    -83.349   -107.101    -10.553    188.955    112.286
      0.203   -102.682    -83.160   -106.989    -10.443    189.030    112.392
      0.204   -102.693    -82.971   -106.876    -10.332    189.105    112.499
      0.205   -102.703    -82.781   -106.764    -10.221    189.180    112.606
      0.206   -102.713    -82.592   -106.651    -10.110    189.254    112.713
      0.207   -102.723    -82.403   -106.539     -9.999    189.329    112.820
      0.208   -102.733    -82.213   -106.426     -9.887    189.404    112.927
      0.209   -102.743    -82.024   -106.313     -9.775    189.479    113.035
      0.210   -102.753    -81.835   -106.200     -9.663    189.554    113.142
      0.211   -102.762    -81.645   -106.086     -9.550    189.629    113.250
      0.212   -102.772    -81.455   -105.973     -9.438    189.704    113.357
      0.213   -102.781    -81.266   -105.860     -9.325    189.779    113.465
      0.214   -102.790    -81.076   -105.746     -9.211    189.854    113.573
      0.215   -102.800    -80.886   -105.632     -9.098    189.929    113.681
      0.216   -102.809    -80.696   -105.519     -8.984    190.003    113.790
      0.217   -102.818    -80.506   -105.405     -8.870    190.078    113.898
      0.218   -102.826    -80.316   -105.291     -8.756    190.153    114.007
      0.219   -102.835    -80.126   -105.177     -8.641    190.228    114.115
      0.220   -102.844    -79.935   -105.063     -8.526    190.303    114.224
      0.221   -102.852    -79.745   -104.948     -8.411    190.377    114.333
      0.222   -102.860    -79.555   -104.834     -8.296    190.452    114.442
      0.223   -102.869    -79.364   -104.720     -8.180    190.527    114.552
      0.224   -102.877    -79.173   -104.605     -8.064    190.601    114.661
      0.225   -102.885    -78.983   -104.490     -7.948    190.676    114.770
      0.226   -102.893    -78.792   -104.375     -7.831    190.751    114.880
      0.227   -102.900    -78.601   -104.260     -7.714    190.825    114.990
      0.228   -102.908    -78.410   -104.145     -7.597    190.900    115.100
      0.229   -102.916    -78.220   -104.030     -7.480    190.974    115.210
      0.230   -102.923    -78.028   -103.915     -7.362    191.049    115.320
      0.231   -102.930    -77.837   -103.800     -7.244    191.123    115.430
      0.232   -102.938    -77.646   -103.684     -7.126    191.198    115.541
      0.233   -102.945    -77.455   -103.569     -7.008    191.272    115.652
      0.234   -102.952    -77.264   -103.453     -6.889    191.347    115.762
      0.235   -102.958    -77.072   -103.337     -6.770    191.421    115.873
      0.236   -102.965    -76.881   -103.221     -6.650    191.496    115.984
      0.237   -102.972    -76.689   -103.105     -6.531    191.570    116.095
      0.238   -102.978    -76.498   -102.989     -6.411    191.644    116.207
      0.239   -102.985    -76.306   -102.873     -6.291    191.719    116.318
      0.240   -102.991    -76.114   -102.756     -6.170    191.793    116.430
      0.241   -102.997    -75.922   -102.640     -6.049    191.867    116.541
      0.242   -103.003    -75.731   -102.523     -5.928    191.942    116.653
      0.243   -103.009    -75.539   -102.406     -5.807    192.016    116.765
      0.244   -103.014    -75.347   -102.290     -5.685    192.090    116.877
      0.245   -103.020    -75.154   -102.173     -5.563    192.164    116.990
      0.246   -103.026    -74.962   -102.056     -5.441    192.238    117.102
      0.247   -103.031    -74.770   -101.939     -5.319    192.312    117.215
      0.248   -103.036    -74.578   -101.821     -5.196    192.386    117.327
      0.249   -103.041    -74.385   -101.704     -5.073    192.460    117.440
      0.250   -103.046    -74.193   -101.586     -4.949    192.534    117.553
      0.251   -103.051    -74.000   -101.469     -4.826    192.608    117.666
      0.252   -103.056    -73.807   -101.351     -4.702    192.682    117.780
      0.253   -103.061    -73.615   -101.233     -4.577    192.756    117.893
      0.254   -103.065    -73.422   -101.115     -4.453    192.830    118.006
      0.255   -103.070    -73.229   -100.997     -4.328    192.904    118.120
      0.256   -103.074    -73.036   -100.879     -4.202    192.978    118.234
      0.257   -103.078    -72.843   -100.761     -4.077    193.051    118.348
      0.258   -103.082    -72.650   -100.642     -3.951    193.125    118.462
      0.259   -103.086    -72.457   -100.524     -3.825    193.199    118.576
      0.260   -103.090    -72.264   -100.405     -3.699    193.273    118.691
      0.261   -103.093    -72.070   -100.286     -3.572    193.346    118.805
      0.262   -103.097    -71.877   -100.168     -3.445    193.420    118.920
      0.263   -103.100    -71.683   -100.049     -3.317    193.493    119.035
      0.264   -103.103    -71.490    -99.929     -3.190    193.567    119.150
      0.265   -103.107    -71.296    -99.810     -3.062    193.640    119.265
      0.266   -103.110    -71.103    -99.691     -2.934    193.714    119.380
      0.267   -103.112    -70.909    -99.572     -2.805    193.787    119.496
      0.268   -103.115    -70.715    -99.452     -2.676    193.860    119.611
      0.269   -103.118    -70.521    -99.332     -2.547    193.934    119.727
      0.270   -103.120    -70.327    -99.213     -2.417    194.007    119.843
      0.271   -103.123    -70.133    -99.093     -2.287    194.080    119.959
      0.272   -103.125    -69.939    -98.973     -2.157    194.153    120.075
      0.273   -103.127    -69.745    -98.852     -2.027    194.226    120.191
      0.274   -103.129    -69.551    -98.732     -1.896    194.299    120.307
      0.275   -103.131    -69.356    -98.612     -1.765    194.372    120.424
      0.276   -103.132    -69.162    -98.491     -1.633    194.445    120.541
      0.277   -103.134    -68.967    -98.371     -1.502    194.518    120.657
      0.278   -103.135    -68.773    -98.250     -1.370    194.591    120.774
      0.279   -103.137    -68.578    -98.129     -1.237    194.664    120.892
      0.280   -103.138    -68.383    -98.008     -1.104    194.737    121.009
      0.281   -103.139    -68.189    -97.887     -0.971    194.810    121.126
      0.282   -103.140    -67.994    -97.766     -0.838    194.882    121.244
      0.283   -103.141    -67.799    -97.645     -0.704    194.955    121.362
      0.284   -103.141    -67.604    -97.523     -0.570    195.028    121.479
      0.285   -103.142    -67.409    -97.402     -0.436    195.100    121.597
      0.286   -103.142    -67.214    -97.280     -0.301    195.173    121.716
      0.287   -103.142    -67.019    -97.158     -0.166    195.245    121.834
      0.288   -103.142    -66.823    -97.036     -0.031    195.317    121.952
      0.289   -103.142    -66.628    -96.914      0.105    195.390    122.071
      0.290   -103.142    -66.432    -96.792      0.241    195.462    122.190
      0.291   -103.142    -66.237    -96.670      0.377    195.534    122.308
      0.292   -103.141    -66.041    -96.548      0.514    195.606    122.427
      0.293   -103.141    -65.846    -96.425      0.651    195.678    122.547
      0.294   -103.140    -65.650    -96.303      0.788    195.751    122.666
      0.295   -103.139    -65.454    -96.180      0.926    195.822    122.785
      0.296   -103.138    -65.258    -96.057      1.064    195.894    122.905
      0.297   -103.137    -65.062    -95.934      1.203    195.966    123.025
      0.298   -103.136    -64.866    -95.811      1.341    196.038    123.145
      0.299   -103.135    -64.670    -95.688      1.480    196.110    123.265
      0.300   -103.133    -64.474    -95.564      1.620    196.182    123.385
      0.301   -103.131    -64.278    -95.441      1.760    196.253    123.505
      0.302   -103.129    -64.082    -95.317      1.900    196.325    123.626
      0.303   -103.127    -63.885    -95.194      2.040    196.396    123.747
      0.304   -103.125    -63.689    -95.070      2.181    196.468    123.867
      0.305   -103.123    -63.492    -94.946      2.322    196.539    123.988
      0.306   -103.121    -63.296    -94.822      2.464    196.610    124.109
      0.307   -103.118    -63.099    -94.698      2.605    196.682    124.231
      0.308   -103.116    -62.903    -94.573      2.748    196.753    124.352
      0.309   -103.113    -62.706    -94.449      2.890    196.824    124.474
      0.310   -103.110    -62.509    -94.325      3.033    196.895    124.595
      0.311   -103.107    -62.312    -94.200      3.176    196.966    124.717
      0.312   -103.103    -62.115    -94.075      3.320    197.037    124.839
      0.313   -103.100    -61.918    -93.950      3.464    197.108    124.961
      0.314   -103.096    -61.721    -93.825      3.608    197.178    125.084
      0.315   -103.093    -61.524    -93.700      3.753    197.249    125.206
      0.316   -103.089    -61.326    -93.575      3.898    197.320    125.329
      0.317   -103.085    -61.129    -93.449      4.043    197.390    125.451
      0.318   -103.081    -60.931    -93.324      4.189    197.461    125.574
      0.319   -103.077    -60.734    -93.198      4.335    197.531    125.697
      0.320   -103.072    -60.536    -93.072      4.482    197.601    125.820
      0.321   -103.068    -60.339    -92.947      4.629    197.671    125.944
      0.322   -103.063    -60.141    -92.821      4.776    197.742    126.067
      0.323   -103.058    -59.943    -92.694      4.924    197.812    126.191
      0.324   -103.053    -59.745    -92.568      5.072    197.882    126.315
      0.325   -103.048    -59.548    -92.442      5.220    197.952    126.439
      0.326   -103.043    -59.350    -92.315      5.369    198.021    126.563
      0.327   -103.037    -59.151    -92.189      5.518    198.091    126.687
      0.328   -103.032    -58.953    -92.062      5.667    198.161    126.811
      0.329   -103.026    -58.755    -91.935      5.817    198.230    126.936
      0.330   -103.020    -58.557    -91.808      5.967    198.300    127.061
      0.331   -103.014    -58.359    -91.681      6.118    198.369    127.185
      0.332   -103.008    -58.160    -91.554      6.269    198.439    127.310
      0.333   -103.001    -57.962    -91.426      6.420    198.508    127.436
      0.334   -102.995    -57.763    -91.299      6.572    198.577    127.561
      0.335   -102.988    -57.565    -91.171      6.724    198.646    127.686
      0.336   -102.981    -57.366    -91.043      6.876    198.715    127.812
      0.337   -102.974    -57.167    -90.916      7.029    198.784    127.938
      0.338   -102.967    -56.968    -90.788      7.183    198.853    128.064
      0.339   -102.960    -56.769    -90.659      7.336    198.921    128.190
      0.340   -102.953    -56.570    -90.531      7.490    198.990    128.316
      0.341   -102.945    -56.371    -90.403      7.645    199.058    128.442
      0.342   -102.937    -56.172    -90.274      7.800    199.127    128.569
      0.343   -102.930    -55.973    -90.146      7.955    199.195    128.695
      0.344   -102.922    -55.774    -90.017      8.110    199.263    128.822
      0.345   -102.913    -55.575    -89.888      8.266    199.331    128.949
      0.346   -102.905    -55.375    -89.759      8.423    199.399    129.076
      0.347   -102.896    -55.176    -89.630      8.579    199.467    129.204
      0.348   -102.888    -54.976    -89.501      8.737    199.535    129.331
      0.349   -102.879    -54.777    -89.371      8.894    199.603    129.459
      0.350   -102.870    -54.577    -89.242      9.052    199.671    129.586
      0.351   -102.861    -54.377    -89.112      9.211    199.738    129.714
      0.352   -102.852    -54.178    -88.982      9.369    199.805    129.842
      0.353   -102.842    -53.978    -88.852      9.528    199.873    129.970
      0.354   -102.833    -53.778    -88.722      9.688    199.940    130.099
      0.355   -102.823    -53.578    -88.592      9.848    200.007    130.227
      0.356   -102.813    -53.378    -88.462     10.008    200.074    130.356
      0.357   -102.803    -53.178    -88.331     10.169    200.141    130.485
      0.358   -102.793    -52.978    -88.201     10.330    200.208    130.613
      0.359   -102.782    -52.777    -88.070     10.492    200.274    130.743
      0.360   -102.772    -52.577    -87.939     10.654    200.341    130.872
      0.361   -102.761    -52.377    -87.809     10.816    200.407    131.001
      0.362   -102.750    -52.176    -87.677     10.979    200.473    131.131
      0.363   -102.739    -51.976    -87.546     11.143    200.540    131.260
      0.364   -102.728    -51.775    -87.415     11.306    200.606    131.390
      0.365   -102.716    -51.575    -87.283     11.470    200.672    131.520
      0.366   -102.705    -51.374    -87.152     11.635    200.737    131.650
      0.367   -102.693    -51.173    -87.020     11.800    200.803    131.781
      0.368   -102.681    -50.972    -86.888     11.965    200.869    131.911
      0.369   -102.669    -50.771    -86.756     12.131    200.934    132.042
      0.370   -102.657    -50.570    -86.624     12.297    201.000    132.173
      0.371   -102.644    -50.369    -86.492     12.464    201.065    132.303
      0.372   -102.632    -50.168    -86.360     12.631    201.130    132.435
      0.373   -102.619    -49.967    -86.227     12.798    201.195    132.566
      0.374   -102.606    -49.766    -86.094     12.966    201.260    132.697
      0.375   -102.593    -49.565    -85.962     13.134    201.324    132.829
      0.376   -102.580    -49.363    -85.829     13.303    201.389    132.960
      0.377   -102.567    -49.162    -85.696     13.472    201.453    133.092
      0.378   -102.553    -48.960    -85.563     13.642    201.518    133.224
      0.379   -102.539    -48.759    -85.429     13.812    201.582    133.356
      0.380   -102.525    -48.557    -85.296     13.982    201.646    133.488
      0.381   -102.511    -48.355    -85.162     14.153    201.710    133.621
      0.382   -102.497    -48.154    -85.029     14.325    201.774    133.753
      0.383   -102.483    -47.952    -84.895     14.496    201.837    133.886
      0.384   -102.468    -47.750    -84.761     14.669    201.901    134.019
      0.385   -102.453    -47.548    -84.627     14.841    201.964    134.152
      0.386   -102.438    -47.346    -84.493     15.014    202.027    134.285
      0.387   -102.423    -47.144    -84.358     15.188    202.090    134.419
      0.388   -102.408    -46.942    -84.224     15.362    202.153    134.552
      0.389   -102.393    -46.740    -84.089     15.536    202.216    134.686
      0.390   -102.377    -46.537    -83.954     15.711    202.279    134.820
      0.391   -102.361    -46.335    -83.820     15.887    202.341    134.954
      0.392   -102.345    -46.133    -83.685     16.062    202.403    135.088
      0.393   -102.329    -45.930    -83.549     16.239    202.466    135.222
      0.394   -102.313    -45.728    -83.414     16.415    202.528    135.356
      0.395   -102.296    -45.525    -83.279     16.593    202.589    135.491
      0.396   -102.280    -45.323    -83.143     16.770    202.651    135.625
      0.397   -102.263    -45.120    -83.007     16.948    202.713    135.760
      0.398   -102.246    -44.917    -82.872     17.127    202.774    135.895
      0.399   -102.228    -44.714    -82.736     17.306    202.835    136.030
      0.400   -102.211    -44.512    -82.600     17.485    202.896    136.166
      0.401   -102.194    -44.309    -82.463     17.665    202.957    136.301
      0.402   -102.176    -44.106    -82.327     17.845    203.018    136.437
      0.403   -102.158    -43.903    -82.190     18.026    203.079    136.573
      0.404   -102.140    -43.700    -82.054     18.208    203.139    136.708
      0.405   -102.121    -43.496    -81.917     18.389    203.199    136.844
      0.406   -102.103    -43.293    -81.780     18.572    203.259    136.981
      0.407   -102.084    -43.090    -81.643     18.754    203.319    137.117
      0.408   -102.065    -42.886    -81.506     18.937    203.379    137.253
      0.409   -102.046    -42.683    -81.369     19.121    203.439    137.390
      0.410   -102.027    -42.480    -81.231     19.305    203.498    137.527
      0.411   -102.008    -42.276    -81.093     19.490    203.557    137.664
      0.412   -101.988    -42.072    -80.956     19.675    203.616    137.801
      0.413   -101.968    -41.869    -80.818     19.860    203.675    137.938
      0.414   -101.948    -41.665    -80.680     20.046    203.734    138.076
      0.415   -101.928    -41.461    -80.542     20.233    203.792    138.213
      0.416   -101.908    -41.258    -80.403     20.420    203.851    138.351
      0.417   -101.887    -41.054    -80.265     20.607    203.909    138.489
      0.418   -101.867    -40.850    -80.126     20.795    203.967    138.627
      0.419   -101.846    -40.646    -79.988     20.984    204.025    138.765
      0.420   -101.825    -40.442    -79.849     21.173    204.082    138.903
      0.421   -101.804    -40.238    -79.710     21.362    204.140    139.041
      0.422   -101.782    -40.033    -79.571     21.552    204.197    139.180
      0.423   -101.760    -39.829    -79.432     21.743    204.254    139.319
      0.424   -101.739    -39.625    -79.292     21.933    204.311    139.457
      0.425   -101.717    -39.421    -79.153     22.125    204.367    139.596
      0.426   -101.694    -39.216    -79.013     22.317    204.424    139.736
